"","Sample_ID","ssGSEA_patient_epi_score","ssGSEA_patient_mes_score","ssGSEA_cell_epi_score","ssGSEA_cell_mes_score","ssGSEA_overlap_epi_score","ssGSEA_overlap_mes_score","SingScore_TotalScore","SingScore_mes_score","SingScore_epi_score"
"109","mel119",0.186073732779518,0.594508474987636,0.234016084024315,0.684351199577679,0.139978494908807,0.70056142742407,0.235808890294766,0.280064748245616,-0.0442558579508504
"110","mel120",0.0983872351410646,0.636887841085824,0.158475691960455,0.764298387899117,0.0355284484420838,0.792685840334866,0.310130743329542,0.30129479551408,0.00883594781546226
"111","mel121",0.425617471743684,0.595111072088855,0.486082569287401,0.707089742937774,0.441134674188624,0.716574762631166,0.0951849779190196,0.279861682094965,-0.184676704175946
"112","mel122",0.175643621233118,0.701131977423094,0.23692115095334,0.767378810975747,0.110717193399687,0.784025791339741,0.296887322647187,0.333970023709402,-0.0370827010622155
"113","mel123",0.171632378547692,0.495689886807264,0.166789750053482,0.705326772590208,0.0811256880494403,0.697531311373875,0.201527934603892,0.222025096774043,-0.0204971621701515
"114","mel124",0.0920904509555396,0.564934627523148,0.130142980316255,0.682416754674172,0.0317202934011912,0.730960197517875,0.290843136881281,0.265708881910152,0.025134254971129
"115","mel126",0.324513701369616,0.434096724522945,0.315451233969642,0.675360101044985,0.275773509574177,0.674982496527591,0.064542079898772,0.196852940510088,-0.132310860611316
"116","mel127",0.249419274995078,0.710788974574145,0.276690316235884,0.743938633785278,0.190305619067544,0.769485614502287,0.261345876843753,0.339206123577293,-0.0778602467335396
"117","mel128",0.227220495136634,0.604655484448494,0.259310367187385,0.716472149377852,0.162848065607631,0.743460182932571,0.203095399005293,0.286548042719697,-0.083452643714404
"118","mel129",0.204385920585703,0.631091089826357,0.234305083301246,0.697243732686821,0.128525737997376,0.733425552178095,0.235757819714676,0.298959640655495,-0.0632018209408194
"119","mel130",0.469661966145943,0.467220432938778,0.504174507701725,0.62795469795972,0.475679047468592,0.600951340645105,0.00575513324772103,0.216712555946418,-0.210957422698697
"120","mel131",0.283791891120744,0.566835809395104,0.304343330138681,0.728485216721388,0.260376790304649,0.737506890339831,0.163207668343546,0.266383722183484,-0.103176053839939
"121","mel133",0.548508516742916,0.615066544467148,0.601741235497155,0.703209242753737,0.579492543632378,0.71111505083967,0.0381310816567566,0.290993052766072,-0.252861971109316
"122","mel135",0.109403236493537,0.641737966838825,0.145295351824126,0.734861143169244,0.0177627926994465,0.764500980452697,0.296202757726382,0.304192776054033,-0.00799001832765112
"123","mel136",0.163693689152508,0.522125017278867,0.182174406485148,0.712110199225697,0.0853400785905902,0.748491081273964,0.206880475026408,0.238316338101118,-0.0314358630747098
"124","mel137",0.150143746234869,0.614305051107828,0.156261868593562,0.726993024564102,0.0356096563414244,0.773110672926519,0.28046627910874,0.289692921207157,-0.0092266420984175
"125","mel138",0.161464162810822,0.60348185699057,0.194132772208654,0.724660374629069,0.107305336656698,0.731583992530629,0.24838013932685,0.282805823657694,-0.0344256843308437
"126","mel139",0.137528339879494,0.775343500406195,0.230420638239003,0.80243503766665,0.0822953378455827,0.832559632823784,0.362624361322307,0.371479030931908,-0.00885466960960135
"127","mel140",0.235675650523103,0.752664155492593,0.285690697321606,0.829673462754185,0.196830937937248,0.822349918351946,0.276108073340506,0.360362059111942,-0.0842539857714364
"128","mel141",0.270020483006187,0.443974489502113,0.269449684985967,0.644256379137823,0.212091337198326,0.657770783097038,0.113314750501531,0.195835492278722,-0.0825207417771909
"129","mel142",0.279887136327135,0.468775977613012,0.292652738867859,0.635913970464261,0.231504758804328,0.64965773666115,0.110905791235563,0.211997567441148,-0.101091776205585
"130","mel143",0.161523448892932,0.425495047523558,0.149522189259902,0.658149756705636,0.0758487780877528,0.664999761974491,0.192767423360221,0.182373625200869,0.010393798159352
"131","mel144",0.502482393823667,0.605140316428747,0.563557545417244,0.735613698505177,0.532917899336285,0.737036501216918,0.0548731766758325,0.282938377787316,-0.228065201111483
"132","mel145",0.270975926064703,0.540826440936102,0.284532013970957,0.692428476093658,0.236378589804464,0.70936255799096,0.145807706851616,0.253913258356257,-0.108105551504641
"133","mel146",0.219054677063245,0.541074571311487,0.244865189075048,0.682720377825706,0.15965674769891,0.715761199598782,0.191650170983607,0.253666360408749,-0.0620161894251424
"134","mel147",0.208706958574423,0.602687761828879,0.242278320928552,0.65819090349496,0.142676042767484,0.676385697824536,0.228646759848781,0.28414406982257,-0.0554973099737895
"135","mel150",0.37584345806802,0.768448016211955,0.421587967232964,0.84297231214136,0.386489734305676,0.857997281243846,0.195890097586358,0.367128248661383,-0.171238151075025
"136","mel151",0.232885805379251,0.646237555732143,0.27716354120942,0.730269292293753,0.191948657519639,0.742125431392311,0.219892222383218,0.306748783879385,-0.0868565614961669
"137","mel154",0.234969789992182,0.482542422817301,0.241432408827496,0.634759989168955,0.17593064020484,0.638865331284784,0.141873798809917,0.224824402834117,-0.0829506040242004
"138","mel155",0.140778480615673,0.670557384625861,0.181694665865672,0.712967285425936,0.0666187658397951,0.729847017242398,0.287057956383259,0.319917168491333,-0.032859212108074
"139","mel156",0.225781268819947,0.590281099351725,0.26695030627292,0.697939334017959,0.181533329184769,0.719190022846564,0.209639694510752,0.278350649716396,-0.0687109552056441
"140","mel157",0.240688841164949,0.618658726851165,0.265050411421749,0.716586441429368,0.1857466419375,0.733352972078887,0.222430350534073,0.290890778573409,-0.0684604280393354
"141","mel158",0.17038221352088,0.644370498949624,0.170623848195349,0.845598013279421,0.0936034981373769,0.826402706037664,0.272246089446825,0.301104010736461,-0.028857921289636
"142","mel159",0.171748578288761,0.471562808454663,0.195466221575524,0.603574634057601,0.0871223077878454,0.60838261059768,0.20342002959755,0.215215498923368,-0.0117954693258183
"143","mel161",0.21533580653048,0.468009870181202,0.233021683033451,0.667266511730411,0.18882010750229,0.68207381311316,0.168647613809606,0.211143376771985,-0.0424957629623791
"144","mel162",0.186760153930227,0.575671590845424,0.216506277242293,0.704184615371845,0.127742159518452,0.726454636183223,0.239270824186005,0.270815815613394,-0.031544991427389
"145","mel163",0.223575985951558,0.566739260623552,0.236331053026292,0.7174364867922,0.164633526573952,0.714523522194228,0.194337210918671,0.26430351168922,-0.0699663007705497
"146","mel164",0.194788618729708,0.732476239228638,0.291976557068406,0.742275589821079,0.158436189538281,0.753214020570241,0.307129952639673,0.350238608020711,-0.0431086553810378
"147","mel165",0.394572148148521,0.518159436392655,0.452268983198633,0.687883083064771,0.402659738415919,0.654634684106496,0.0699135751796907,0.23675850945634,-0.166844934276649
"148","mel166",0.553401344054298,0.575246712292249,0.61468149005074,0.711921281334108,0.5941155400641,0.704908008379711,0.0162798738124199,0.270186077623783,-0.253906203811363
"149","mel167",0.153045621856539,0.548901006696469,0.15476143567139,0.712125149834495,0.0638396351539574,0.744426997100365,0.225343302562565,0.257141777229022,-0.0317984746664565
"150","mel168",0.586352218949475,0.614564433385036,0.647457079907339,0.693892967953012,0.647748248431216,0.726961085736162,0.0157647161306331,0.290130392184473,-0.27436567605384
"151","mel169",0.0767967583272857,0.544523674799287,0.0997178254626454,0.676871130079605,-0.00784935845519323,0.708249242500944,0.255662273865079,0.252598304450579,0.00306396941450049
"152","mel170",0.186129547127803,0.52728853469249,0.209961394847625,0.672679874797557,0.108017351008002,0.684121164400508,0.18553480875649,0.244166294872802,-0.0586314861163116
"153","mel171",0.234111793811861,0.514297500587225,0.22203919163421,0.715189212865038,0.155771464566248,0.736839147861322,0.168218657243825,0.237007948377578,-0.0687892911337524
"154","mel172",0.429109042260701,0.595088264819211,0.486055962043953,0.724670704645703,0.43632481832908,0.729842356609077,0.0933003431689393,0.279862529086209,-0.186562185917269
"155","mel173",0.559812671354139,0.557626305111711,0.604875202421181,0.745690313009642,0.59988221205266,0.726647616509231,0.00601006944438709,0.258474941446437,-0.25246487200205
"156","mel174",0.172790442420253,0.630127087459442,0.182724390474855,0.731882184630775,0.105758245113238,0.751085436593276,0.250467513785352,0.298758903730764,-0.0482913899454112
"157","mel175",0.189043726108669,0.533611894585729,0.229672494889691,0.685384579093712,0.146233778635127,0.690819064517847,0.196724482027568,0.247019596624655,-0.0502951145970872
"158","mel176",0.15136270400401,0.556880076648699,0.179671261072228,0.763124450051669,0.0780045258643126,0.78059841917386,0.238972236108382,0.260942015191211,-0.0219697790828292
"159","mel177",0.226384564502091,0.568081141263138,0.226186726478308,0.728903933559548,0.162257840830029,0.76821026206391,0.206146376388436,0.268033237630381,-0.0618868612419448
"160","mel178",0.181419395590273,0.574850432654457,0.205866000350081,0.702261617114219,0.121247027162704,0.739005339082932,0.223321887965235,0.26841480718562,-0.045092919220385
"161","mel179",0.168698395542232,0.675711577048481,0.216752276809323,0.768638254187199,0.108585658898536,0.784475286723485,0.280733427540543,0.320310807671793,-0.0395773801312497
