"","MEblue","MEcyan","MEpink","MEturquoise","MEgrey60","MEpurple","MEred","MEyellow","MEmagenta","MEblack","MEmidnightblue","MEgreen","MElightcyan","MEtan","MEgreenyellow","MEbrown","MEsalmon","MEgrey"
"mel180",-0.0283215258508289,-0.0480908599449247,-0.0240799058978319,0.0121438891661713,-0.0148734714939112,-0.00409371870618714,-0.0173279168544322,0.0852358439425876,-0.00200835982870635,-0.0140234345842598,-0.00862658784875381,0.0570626612968687,-0.0352705926302568,-0.0620675751399516,-0.0130457122022008,-0.0237398636159926,0.0544741915120002,-0.0152773958352813
"mel032",-0.0564889325549356,-0.0659297083283092,-0.00441325264177153,-0.116962270983347,0.0288080077320308,0.00361958347371988,-0.00734981952024912,0.03417305274581,-0.0625059882315574,-0.0204371987852256,-0.0163434005847763,0.0699320412391301,0.074803232010989,0.0575539470801658,0.053871107272141,0.0907832928186796,0.0581998358492768,-0.0157486327956883
"mel324",0.0705767867289645,-0.00258492617457119,-0.0307211859758948,0.00175514403030169,-0.0030069476663983,-0.0591682399938756,-0.0318994843590876,-0.0129440007875424,-0.0431004830180022,-0.0473959990682325,-0.0348363373161122,0.0749882934748073,0.091506306465273,0.0632365671616267,0.0160692195459669,-0.00261909385602687,-0.0402513285060915,0.0018292994444203
"mel116",0.0502724022741048,-0.00611299885905534,0.00651104117686145,0.0317069618875316,-0.0318454943749552,-0.0393120598440405,-0.030527468148717,-0.00790995013839196,-0.00146198891371729,-0.0289338255754093,-0.033505475263722,-0.00604591436738145,-0.0344208018707919,-0.0418050594450754,-0.0197108466050638,-0.0396844499507596,-0.0294653138362161,0.000886101903222378
"mel058",-0.0307795328783987,0.0258378545270899,0.0332746027852903,-0.0416293566272895,0.0133491814693306,-0.0490381119393395,-0.0304770171286855,-0.041188320823442,-0.0554345745901493,-0.048727966170274,-0.0219407125990882,0.00735340423774937,0.0183347260772439,0.029280293018415,0.0566244547055794,0.0800616242244611,0.0494646284007395,-0.0513187948511813
"mel421",0.0395483136839151,0.0399466486112196,-0.0116588924337691,-0.00465020574859412,0.0309865776061618,-0.0514672657264109,-0.0226926629912689,-0.0424017104514943,-0.0552857496309906,-0.0444422820358064,-0.0275107118311557,0.0448459892743143,0.0585312424492096,0.0711926181685135,0.0218475750591832,0.0288111602369745,-0.0236318541327223,-0.011898871564573
"mel143",0.0307450040963558,-0.00618929165152452,-0.0974293755307387,-0.065848653797409,0.0748896136545642,-0.0454303279265388,-0.00973933739876468,-0.0558469229229628,-0.0824650299858315,-0.0310551651568876,0.000854338284922903,0.0465240609665619,0.0750635438592769,0.108621074028642,0.0382755449080737,0.0799408454300362,0.0389922174319778,-0.00562240489951427
"mel268",-0.102570129282614,0.00321179511576048,0.0292359219243138,-0.0439335882078255,-0.0238398840925016,0.0751775402370855,0.114736641880525,-0.0268716760977245,-0.0252524993538777,0.0288164176591596,0.0497847915559188,-0.0550267312431348,-0.00208743109751344,0.0119287002656198,0.0551178695162495,0.0793882886338477,0.0638271896750052,-0.0823078884758337
"mel264",0.0715291970473859,-0.0135252058276311,0.047404544465876,0.0418795696017789,-0.0230857781249341,-0.0321340456993167,0.0362419492141415,-0.0133008001051438,-0.0348561072590644,-0.0244160247970516,-0.0649847865069571,-0.0247679076032761,0.0155878499160282,0.00721150212981973,0.0334968885135163,-0.0285261924517662,-0.0819626816134107,-0.0478437143302188
"mel166",0.0497856232673943,-0.082695769991718,-0.0905663383697057,-0.0357317007309415,0.0155032655005373,0.161948009340662,0.18497888607746,-0.00136540267431669,0.0381278591503864,0.0351510343667668,0.0332922825480816,0.0280765437434389,0.00182598865561968,-0.00646173230765851,-0.038380122959065,-0.0136732546555392,0.0161397526069962,0.10600717823997
