"","V1","V2","V3","V4","V5","V6","V7","V8"
"cell_type","B cell","Cancer associated fibroblast","T cell CD4+","T cell CD8+","Endothelial cell","Macrophage","NK cell","uncharacterized cell"
"mel315","4.505181e-02","2.511185e-02","2.271299e-01","2.846640e-08","1.738720e-01","8.835867e-03","1.754832e-08","5.199985e-01"
"mel222","1.426786e-04","2.285378e-02","1.496594e-01","6.921850e-03","1.552205e-01","7.356613e-03","3.003689e-07","6.578449e-01"
"mel288","5.855840e-09","3.097189e-02","1.327227e-01","1.284418e-09","2.158786e-01","1.146717e-02","1.364244e-04","6.088232e-01"
"mel049","6.818284e-02","2.050149e-02","2.832705e-01","4.245842e-02","1.866222e-01","1.180049e-02","7.575628e-10","3.871640e-01"
"mel220","6.695913e-02","2.041186e-02","2.369581e-01","1.118079e-01","1.048578e-01","1.083554e-02","5.622329e-09","4.481696e-01"
"mel415","5.106459e-02","1.984484e-02","2.576814e-01","1.070949e-01","1.163646e-01","1.047682e-02","1.618042e-09","4.374728e-01"
"mel185","2.612039e-07","1.985630e-02","2.103690e-01","2.230319e-06","1.217356e-01","1.064602e-02","1.081697e-05","6.373798e-01"
"mel261","1.042443e-05","2.192676e-02","1.285374e-01","6.302571e-09","1.248228e-01","1.257008e-02","4.903355e-09","7.121325e-01"
"mel021","1.330143e-01","1.919516e-02","4.655365e-01","1.767416e-01","1.904325e-01","1.507972e-02","1.931280e-10","7.650338e-08"
"mel028","1.054356e-01","2.173092e-02","3.558746e-01","1.267838e-01","2.246856e-01","1.371870e-02","1.377839e-10","1.517708e-01"
"mel130","6.356267e-09","2.116280e-02","1.951133e-01","1.660669e-07","1.121144e-01","7.276135e-03","2.770048e-07","6.643329e-01"
"mel235","9.825673e-08","2.239895e-02","9.853430e-02","1.707080e-06","1.340061e-01","9.767751e-03","1.712954e-06","7.352894e-01"
"mel082","4.198902e-07","1.743073e-02","2.076029e-01","1.404838e-01","9.937940e-02","1.193917e-02","7.393769e-08","5.231636e-01"
"mel091","5.033158e-02","2.421883e-02","2.352981e-01","8.701689e-02","1.369223e-01","1.643610e-02","1.006450e-10","4.497762e-01"
"mel329","1.695399e-08","2.570951e-02","1.440523e-01","2.158876e-07","1.229574e-01","9.608419e-03","4.428549e-11","6.976721e-01"
"mel410","1.005259e-07","2.348487e-02","1.837115e-01","1.389252e-01","1.532402e-01","1.284908e-02","1.699114e-09","4.877890e-01"
"mel250","5.471853e-02","1.605490e-02","2.596867e-01","1.467722e-01","1.162213e-01","1.546875e-02","3.027711e-10","3.910776e-01"
"mel351","1.753449e-05","2.491394e-02","2.101327e-01","5.503455e-02","1.172201e-01","1.501325e-02","6.790333e-09","5.776679e-01"
"mel416","3.510127e-07","1.977075e-02","1.947031e-01","6.439828e-08","1.366937e-01","1.244249e-02","2.459989e-07","6.363893e-01"
"mel014","2.584986e-05","2.697125e-02","1.290185e-01","8.424045e-09","1.431905e-01","9.739012e-03","1.162199e-08","6.910549e-01"
"mel247","2.261361e-07","1.914630e-02","2.108872e-01","2.438609e-06","1.281071e-01","8.288440e-03","2.075824e-06","6.335663e-01"
"mel011","2.641049e-08","2.839202e-02","1.862076e-01","1.371855e-07","1.616695e-01","1.239927e-02","4.272783e-10","6.113314e-01"
"mel314","6.861883e-02","1.446674e-02","2.679149e-01","1.411843e-01","1.099537e-01","1.536663e-02","6.047605e-11","3.824950e-01"
"mel440","1.363573e-07","3.008276e-02","2.122233e-01","5.538635e-02","2.069515e-01","1.567422e-02","6.842660e-09","4.796817e-01"
"mel359","9.148387e-02","2.475720e-02","3.028875e-01","8.832912e-02","2.130444e-01","1.337962e-02","6.546349e-11","2.661183e-01"
"mel068","3.195982e-02","2.055561e-02","2.180467e-01","9.153085e-02","1.339046e-01","1.217900e-02","2.557674e-10","4.918233e-01"
"mel126","1.494810e-10","1.844658e-02","1.580489e-02","1.920451e-08","1.271632e-01","5.613219e-03","4.019075e-06","8.329681e-01"
"mel221","3.492212e-02","2.592664e-02","2.017862e-01","9.269960e-02","1.612038e-01","1.343243e-02","8.336529e-10","4.700292e-01"
"mel459","8.618921e-11","1.017556e-02","5.971700e-02","5.588961e-08","8.486503e-02","1.019421e-02","5.119519e-05","8.349970e-01"
"mel439","4.061377e-02","2.014074e-02","1.990530e-01","9.745982e-02","1.500727e-01","1.460333e-02","5.298953e-10","4.780566e-01"
