"","Module","ENSEMBL","Symbol","ncbi","kTotal","kWithin","kOut","kDiff"
"ENSG00000006576","turquoise","ENSG00000006576","PHTF2","57157",1154.35071641867,631.707099389203,522.643617029463,109.06348235974
"ENSG00000006606","black","ENSG00000006606","CCL26","10344",632.498749454598,42.9621027464499,589.536646708148,-546.574543961698
"ENSG00000006607","pink","ENSG00000006607","FARP2","9855",601.177139571002,47.0232499288226,554.153889642179,-507.130639713357
"ENSG00000006611","grey","ENSG00000006611","USH1C","10083",549.292984546597,NA,NA,NA
"ENSG00000006625","tan","ENSG00000006625","GGCT","79017",610.590183079502,15.5186446822202,595.071538397282,-579.552893715062
"ENSG00000006634","turquoise","ENSG00000006634","DBF4","10926",1010.01571019163,503.85200202377,506.163708167862,-2.31170614409109
"ENSG00000006638","grey","ENSG00000006638","TBXA2R","6915",539.952733666419,NA,NA,NA
"ENSG00000006652","blue","ENSG00000006652","IFRD1","3475",807.49080120195,229.83590212268,577.65489907927,-347.81899695659
"ENSG00000006695","grey","ENSG00000006695","COX10","1352",527.387301523165,NA,NA,NA
"ENSG00000006704","tan","ENSG00000006704","GTF2IRD1","9569",646.721341718271,28.8575605446436,617.863781173628,-589.006220628984
"ENSG00000006712","brown","ENSG00000006712","PAF1","54623",786.7663971153,361.083282354722,425.683114760578,-64.5998324058563
"ENSG00000006715","turquoise","ENSG00000006715","VPS41","27072",765.386578857138,329.353019418945,436.033559438193,-106.680540019249
"ENSG00000006740","black","ENSG00000006740","ARHGAP44","9912",712.749018536686,59.4796722725681,653.269346264118,-593.78967399155
"ENSG00000006744","brown","ENSG00000006744","ELAC2","60528",684.992828410038,270.273445394335,414.719383015703,-144.445937621368
"ENSG00000006747","grey","ENSG00000006747","SCIN","85477",527.939178512953,NA,NA,NA
"ENSG00000006756","greenyellow","ENSG00000006756","ARSD","414",561.15396095882,23.7520861473532,537.401874811467,-513.649788664114
"ENSG00000006757","brown","ENSG00000006757","PNPLA4","8228",583.28349713206,166.915252476188,416.368244655872,-249.452992179683
"ENSG00000006788","grey","ENSG00000006788","MYH13","8735",556.145943167157,NA,NA,NA
"ENSG00000006831","greenyellow","ENSG00000006831","ADIPOR2","79602",612.512604132516,44.103380141247,568.409223991269,-524.305843850022
"ENSG00000006837","blue","ENSG00000006837","CDKL3","51265",895.743796935173,272.853604729133,622.89019220604,-350.036587476906
"ENSG00000007001","grey","ENSG00000007001","UPP2","151531",508.756464764664,NA,NA,NA
"ENSG00000007038","grey","ENSG00000007038","PRSS21","10942",573.256837665204,NA,NA,NA
"ENSG00000007047","brown","ENSG00000007047","MARK4","57787",783.380533522582,345.221947546065,438.158585976517,-92.936638430452
"ENSG00000007062","grey","ENSG00000007062","PROM1","8842",589.795978516895,NA,NA,NA
"ENSG00000007080","brown","ENSG00000007080","CCDC124","115098",987.879037758259,510.867075407266,477.011962350993,33.8551130562729
"ENSG00000007129","yellow","ENSG00000007129","CEACAM21","90273",1001.72085506835,558.009111406517,443.71174366183,114.297367744686
