"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol","entrez_symbol"
"ENSG00000129933",0.0049958086447246,6.17910879133195,0.0998029946196494,0.920548368561718,0.951422750269516,-7.72123784077148,"MAU2","23383"
"ENSG00000236120",0.0170516307635581,-0.97150476597434,0.0997830321083623,0.920564207607356,0.951422750269516,-7.03901601177812,"LINC03070","101928228"
"ENSG00000112659",0.00671431506990672,5.18881385574204,0.0995901323112448,0.920717263560687,0.951427022846695,-7.63068371145011,"CUL9","23113"
"ENSG00000215041",-0.00624508093235132,4.31246737052291,-0.0995899495483432,0.920717408574939,0.951427022846695,-7.53742404565665,"NEURL4","84461"
"ENSG00000255031",-0.0145761619557374,-1.55245505974131,-0.099579836200478,0.920725433071827,0.951427022846695,-7.01757720367117,NA,NA
"ENSG00000234175",-0.0148161006672214,-2.36189412815463,-0.099579624562148,0.920725600997623,0.951427022846695,-6.99155299827,NA,NA
"ENSG00000122705",-0.00688970836357505,6.9561678077995,-0.0995720449991692,0.920731615053041,0.951427022846695,-7.78506090562566,"CLTA","1211"
"ENSG00000102466",-0.0239147301942362,-2.46876004045142,-0.0994808171045985,0.920804000798724,0.951468077003639,-6.98844736574955,"FGF14","2259"
"ENSG00000107833",-0.0089405776806073,4.95160610595179,-0.099426484425424,0.920847111955256,0.951472087854543,-7.60863880384881,"NPM3","10360"
"ENSG00000173120",-0.00592241537424254,6.68727839148808,-0.0993936124731611,0.920873194858946,0.951472087854543,-7.76382261020382,"KDM2A","22992"
"ENSG00000227304",0.0145515818904665,-4.76462304655057,0.0993309564152046,0.920922910789666,0.951489713786089,-6.93907797061387,NA,NA
"ENSG00000117479",0.0132134016058227,5.08449929680573,0.0991750935737587,0.921046585191625,0.95158374902107,-7.61991214926482,"SLC19A2","10560"
"ENSG00000236991",-0.0160806302127527,-4.36340825044834,-0.0990264490231777,0.921164533792956,0.951671862158414,-6.94470397253469,"EDRF1-AS1","101927983"
"ENSG00000100425",-0.00593286002001747,5.55316573320832,-0.0988691227043231,0.921289373223453,0.951713311904085,-7.66637817738283,"BRD1","23774"
"ENSG00000239345",0.0149438970045948,-4.61799442167924,0.0988527672355236,0.921302351503284,0.951713311904085,-6.94098759352901,NA,NA
"ENSG00000232818",0.0201484208798599,-1.25077793272728,0.0988120350033247,0.921334673157229,0.951713311904085,-7.02785955081936,"RPS2P32","256355"
"ENSG00000249306",0.0373398839637198,-2.27373644007389,0.0988112288386148,0.921335312862665,0.951713311904085,-6.99341257996861,"LINC01411","101928176"
"ENSG00000262668",0.0237464338488786,-4.3957742366787,0.0987138558135616,0.921412580393111,0.951759383923625,-6.94398145438943,NA,NA
"ENSG00000121578",0.00695853763615872,4.43216544190136,0.0986233411568744,0.921484406332586,0.951799832065592,-7.54961567527109,"B4GALT4","8702"
"ENSG00000226886",0.0344114398215427,-3.00373213915087,0.0985374598514969,0.921552556170982,0.951836480435242,-6.97270110576783,NA,NA
"ENSG00000234193",0.0156249374599273,-3.30855390744189,0.0983486779472371,0.92170236328746,0.951957463904411,-6.96544712126258,NA,NA
"ENSG00000156482",0.00818534134018112,7.87174933217974,0.0982213976132688,0.921803367655459,0.952028035872867,-7.85358726277455,"RPL30","6156"
"ENSG00000134897",0.012534669362581,3.47722844285416,0.0980597008609443,0.921931685283726,0.952126810663074,-7.43426102929043,"BIVM","54841"
"ENSG00000186532",0.00624130791353972,3.93172628884093,0.0977282730525282,0.92219470268999,0.952364684988323,-7.49114845863948,"SMYD4","114826"
"ENSG00000130513",-0.0297512152275283,6.90931032185157,-0.0975379367762432,0.922345755294596,0.952435232982753,-7.7830999843697,"GDF15","9518"
"ENSG00000058056",-0.0100984514518299,4.99926198026272,-0.0975247388223081,0.922356229415472,0.952435232982753,-7.61177326238167,"USP13","8975"
"ENSG00000258559",-0.0142360153192602,-1.8186689318591,-0.0975186222056926,0.922361083671107,0.952435232982753,-7.00878479332192,NA,NA
"ENSG00000254614",-0.0138676506056825,-0.279433764957598,-0.0972835711102624,0.92254762659421,0.952576118179098,-7.07421074927749,"CAPN1-AS1","728975"
"ENSG00000180422",0.0215618076548161,-4.14187198926385,0.097264315542221,0.922562908524773,0.952576118179098,-6.94808794795898,"LINC00304","283860"
"ENSG00000173258",0.0172805725928089,1.36988119091161,0.09702298196286,0.922754442205211,0.952740119355435,-7.19597973566496,"ZNF483","158399"
"ENSG00000101440",0.0198283809228346,-2.32273028354143,0.0965953950670543,0.923093806309803,0.953038563323533,-6.99261230461819,"ASIP","434"
"ENSG00000124641",-0.00705744970418021,4.46945132585548,-0.0965763613020541,0.923108913219159,0.953038563323533,-7.55540156419293,"MED20","9477"
"ENSG00000162086",-0.00705262765618375,3.78551242023036,-0.0964837248342584,0.923182438256599,0.953080700199995,-7.47465862869775,"ZNF75A","7627"
"ENSG00000234604",0.0175604483571696,-4.12354202732556,0.0962570714263148,0.923362334553155,0.953205167864706,-6.94850531643752,NA,NA
"ENSG00000158482",-0.0158807141811188,-4.79506134093769,-0.0962493882727698,0.92336843279151,0.953205167864706,-6.93920698276762,NA,NA
"ENSG00000228110",-0.0134159265795022,-3.67098382076338,-0.0959905221062091,0.923573901529969,0.953383496721955,-6.95758478047705,"ST13P19","100131961"
"ENSG00000273428",-0.0155207087825353,-4.91169968181023,-0.0959130532332057,0.923635391563736,0.953385517881692,-6.93781938649321,"LOC105372990","105372990"
"ENSG00000255136",-0.018232153413865,-4.92749498569092,-0.0958856846957398,0.923657115137478,0.953385517881692,-6.937656408987,NA,NA
"ENSG00000137513",-0.0116324741480991,4.61867549771623,-0.0958643805076129,0.923674025218438,0.953385517881692,-7.57177052134299,"NARS2","79731"
"ENSG00000105229",-0.00660986916204553,4.89538913072674,-0.0957066766104482,0.923799202886689,0.95342554717021,-7.60279064302522,"PIAS4","51588"
"ENSG00000238132",-0.015073195649637,-4.69485388706726,-0.0956554987729682,0.923839825767213,0.95342554717021,-6.9404900110309,NA,NA
"ENSG00000177337",-0.0118269500781416,2.80167470522136,-0.0956526404460891,0.923842094596415,0.95342554717021,-7.35152866744351,NA,NA
"ENSG00000229133",-0.0124566968936155,-2.55215561566736,-0.0956506177246241,0.92384370015477,0.95342554717021,-6.9864396307643,"RPS7P4","149224"
"ENSG00000173207",0.00745900708293057,4.50115791766088,0.0954260319269754,0.924021969641723,0.953575748502859,-7.55778402266912,"CKS1B","1163"
"ENSG00000285373",-0.0175840722401839,-4.66279458462044,-0.0951941375723804,0.924206044460994,0.953731929992757,-6.94097029077801,"LINC02478","100505984"
"ENSG00000243738",-0.0138388052011003,-3.49409516395987,-0.0950321025183183,0.924334668264928,0.953830879920912,-6.96162366440101,"RN7SL181P","106480492"
"ENSG00000089123",-0.00724063810937237,3.20614621714579,-0.0947978960056947,0.924520585448802,0.953988942401059,-7.40090404499795,"TASP1","55617"
"ENSG00000132326",0.00855700111216695,3.22471265528893,0.0945384439679251,0.924726547797724,0.95413637967197,-7.4047259547843,"PER2","8864"
"ENSG00000254985",0.0144244891908674,-4.55974173838714,0.0944664402817633,0.92478370780894,0.95413637967197,-6.94219738721052,NA,NA
