"","B cell","Macrophage M1","Macrophage M2","Monocyte","Neutrophil","NK cell","T cell CD4+ (non-regulatory)","T cell CD8+","T cell regulatory (Tregs)","Myeloid dendritic cell","uncharacterized cell"
"mel272","0.07072113","0.07906793","0.06524013","0.11846639","0.00000000","0.01751508","0.00000000","0.16876925","0.10346304","0.00000000","0.37675705"
"mel311","0.02088318","0.00000000","0.00000000","0.14686110","0.45680612","0.05522388","0.00000000","0.00000000","0.02908729","0.00000000","0.29113843"
"mel070","0.02225580","0.06720673","0.07160633","0.10926517","0.01979621","0.03707046","0.00000000","0.08424790","0.03612044","0.00000000","0.55243096"
"mel173","0.018725745","0.041439220","0.029552990","0.059087705","0.028861178","0.017952414","0.059466101","0.000000000","0.009733708","0.029241327","0.705939611"
"mel387","0.027045847","0.045648278","0.060367198","0.073309098","0.213888367","0.011944432","0.005371009","0.075647616","0.012974091","0.000000000","0.473804063"
"mel001","0.15207863","0.09418867","0.00000000","0.54356625","0.00000000","0.06517899","0.00000000","0.09752493","0.04746253","0.00000000","0.00000000"
"mel390","0.02503743","0.17012861","0.06899326","0.15372713","0.06695104","0.04137111","0.00000000","0.12435649","0.10799310","0.00000000","0.24144182"
"mel033","0.02026139","0.01000766","0.00000000","0.19156907","0.00000000","0.03169490","0.00000000","0.00000000","0.02464401","0.03948235","0.68234063"
"mel323","0.062758027","0.001303722","0.000000000","0.361007872","0.000000000","0.104463625","0.032167207","0.017316574","0.051406690","0.000000000","0.369576283"
"mel290","0.03731773","0.00000000","0.00000000","0.83142360","0.00000000","0.13125867","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"mel151","0.040679391","0.021004065","0.000000000","0.294070722","0.055761237","0.063413942","0.000000000","0.001322383","0.021702754","0.000000000","0.502045506"
"mel193","0.010160340","0.023669417","0.034059246","0.039897733","0.032748815","0.016397776","0.012001310","0.009544543","0.025611060","0.122953052","0.672956709"
"mel430","0.01183056","0.11793819","0.00000000","0.23132155","0.00000000","0.02268176","0.00000000","0.10593766","0.02202649","0.00000000","0.48826378"
