"","B cell","Cancer associated fibroblast","T cell CD4+","T cell CD8+","Endothelial cell","Macrophage","NK cell","uncharacterized cell"
"mel166","5.961000e-09","2.009613e-02","1.867626e-01","5.831903e-02","1.419980e-01","1.223923e-02","9.961397e-09","5.805850e-01"
"mel144","3.158459e-09","2.581444e-02","2.119273e-01","1.709010e-07","1.721232e-01","1.317653e-02","2.917168e-06","5.769555e-01"
"mel146","7.651715e-03","2.095293e-02","2.044893e-01","4.057613e-02","1.315338e-01","1.307908e-02","2.221287e-10","5.817171e-01"
"mel408","2.801044e-07","2.449261e-02","1.985498e-01","2.257367e-02","1.372457e-01","1.201229e-02","5.102808e-07","6.051251e-01"
"mel429","2.740660e-02","2.378192e-02","2.674551e-01","9.566647e-02","1.896794e-01","1.039977e-02","1.763029e-10","3.856107e-01"
"mel172","6.113246e-03","2.264731e-02","2.263011e-01","7.399244e-02","1.523071e-01","1.051946e-02","1.362720e-10","5.081194e-01"
"mel013","1.099680e-08","1.945608e-02","2.505560e-01","2.079399e-05","1.266701e-01","1.455679e-02","6.873206e-06","5.887334e-01"
"mel096","2.334518e-08","2.875633e-02","1.902589e-01","4.250954e-02","1.358882e-01","1.229259e-02","1.614550e-06","5.902927e-01"
"mel262","9.235670e-03","2.213139e-02","6.187105e-02","6.692981e-08","1.762768e-01","1.100346e-02","3.415419e-04","7.191400e-01"
"mel251","1.792668e-08","2.081768e-02","1.384280e-01","1.276889e-06","7.233324e-02","9.121286e-03","4.794113e-10","7.592985e-01"
"mel183","1.176203e-09","1.644454e-02","9.759148e-02","5.566061e-02","8.102837e-02","8.967022e-03","8.928614e-09","7.403080e-01"
"mel204","9.612690e-12","2.491296e-02","1.876286e-01","1.846497e-08","1.168527e-01","1.357628e-02","5.714233e-07","6.570288e-01"
"mel188","1.283945e-10","2.899943e-02","2.050261e-01","2.061006e-02","1.410312e-01","1.224952e-02","3.242695e-05","5.920513e-01"
"mel248","2.540247e-02","1.905732e-02","1.517513e-01","9.466320e-02","9.485478e-02","1.116152e-02","3.037764e-09","6.031094e-01"
"mel154","6.824783e-11","2.174968e-02","1.610738e-01","9.134699e-08","1.395726e-01","1.149943e-02","4.655932e-07","6.661039e-01"
"mel133","5.509992e-02","2.253888e-02","2.490002e-01","6.591166e-02","1.597094e-01","9.726392e-03","2.980745e-10","4.380135e-01"
"mel106","1.147212e-09","2.490189e-02","1.394742e-01","4.725297e-07","1.077727e-01","7.506705e-03","1.266802e-07","7.203439e-01"
"mel413","1.393806e-08","2.321560e-02","2.024598e-01","2.117260e-02","9.205979e-02","9.897241e-03","3.039796e-05","6.511646e-01"
"mel181","5.418197e-02","1.866635e-02","2.490180e-01","1.343474e-01","1.078780e-01","1.640847e-02","6.678548e-10","4.194998e-01"
"mel420","4.054408e-02","2.504142e-02","1.491064e-01","1.329143e-01","1.329922e-01","1.103730e-02","1.201133e-10","5.083643e-01"
"mel407","5.728541e-10","2.125760e-02","1.640033e-01","1.298632e-07","1.477741e-01","7.884758e-03","1.519876e-04","6.589281e-01"
"mel339","8.750976e-02","2.642879e-02","2.602246e-01","1.330353e-01","1.201514e-01","1.269503e-02","4.276648e-11","3.599551e-01"
"mel414","2.626133e-02","1.944396e-02","9.231927e-02","6.717984e-02","1.369684e-01","1.147039e-02","8.850490e-09","6.463568e-01"
"mel442","0.0214078647","0.0218577027","0.2757247822","0.1331227432","0.1646852527","0.0144035085","0.0006443213","0.3681538248"
"mel214","2.950668e-08","2.732115e-02","1.313024e-01","5.822627e-02","1.385653e-01","1.287683e-02","1.730003e-09","6.317080e-01"
"mel121","1.775390e-02","2.197182e-02","2.270466e-01","8.997613e-02","1.229360e-01","1.023572e-02","3.612254e-08","5.100798e-01"
"mel434","1.512416e-08","1.747232e-02","1.803831e-01","1.976826e-02","4.116593e-02","9.174961e-03","2.115025e-04","7.318239e-01"
"mel114","2.327629e-03","1.775960e-02","2.186448e-01","2.302818e-02","1.059222e-01","9.223150e-03","2.311770e-09","6.230945e-01"
"mel368","3.611334e-02","2.386329e-02","2.431897e-01","1.686168e-01","1.258137e-01","1.610148e-02","1.539315e-08","3.863017e-01"
"mel145","2.624824e-02","2.527629e-02","2.416581e-01","5.706170e-02","1.796480e-01","1.107958e-02","3.684771e-09","4.590281e-01"
"mel017","1.676333e-02","2.886864e-02","2.463595e-01","6.385234e-07","2.114797e-01","1.239483e-02","6.987948e-09","4.841333e-01"
"mel038","1.167329e-08","2.160970e-02","5.666057e-02","9.904034e-08","1.148044e-01","3.869292e-03","2.925235e-04","8.027634e-01"
"mel315","4.496710e-02","2.532616e-02","2.269531e-01","3.287325e-07","1.744998e-01","8.853866e-03","2.045957e-09","5.193996e-01"
"mel222","1.746256e-07","2.346142e-02","1.483142e-01","8.273220e-03","1.553326e-01","7.367800e-03","1.632428e-10","6.572506e-01"
"mel288","1.646508e-08","2.929832e-02","1.346178e-01","4.698271e-06","2.149537e-01","1.155141e-02","2.061903e-06","6.095720e-01"
"mel049","6.846977e-02","2.047306e-02","2.827789e-01","4.344851e-02","1.868068e-01","1.181143e-02","1.148215e-09","3.862115e-01"
"mel220","6.677163e-02","2.038509e-02","2.356229e-01","1.122189e-01","1.051251e-01","1.083856e-02","2.405309e-10","4.490379e-01"
"mel415","5.109337e-02","1.982414e-02","2.564246e-01","1.080222e-01","1.161472e-01","1.048178e-02","4.109492e-11","4.380066e-01"
"mel185","5.761624e-09","2.001582e-02","2.057483e-01","3.052721e-07","1.220320e-01","1.064079e-02","4.757234e-04","6.410871e-01"
"mel261","4.346594e-05","2.181172e-02","1.292915e-01","3.612951e-08","1.248157e-01","1.261886e-02","3.622094e-10","7.114187e-01"
"mel021","1.369422e-01","1.766301e-02","4.063572e-01","2.414529e-01","1.815124e-01","1.424199e-02","2.587906e-05","1.804308e-03"
"mel028","1.052604e-01","2.171726e-02","3.557349e-01","1.260915e-01","2.239869e-01","1.369612e-02","6.514812e-11","1.535129e-01"
"mel130","5.339325e-06","2.187302e-02","1.948561e-01","8.104709e-09","1.118077e-01","7.170855e-03","4.333249e-10","6.642870e-01"
"mel235","3.107150e-10","2.129267e-02","9.598242e-02","5.662191e-05","1.342758e-01","9.804563e-03","4.212032e-04","7.381667e-01"
"mel082","2.556273e-08","1.744012e-02","2.086528e-01","1.394954e-01","9.943596e-02","1.194241e-02","1.947948e-10","5.230332e-01"
"mel091","5.006341e-02","2.423269e-02","2.362463e-01","8.678992e-02","1.366950e-01","1.646976e-02","8.235658e-10","4.495029e-01"
"mel329","1.074169e-09","2.570077e-02","1.442593e-01","3.581361e-08","1.220866e-01","8.477378e-03","6.606869e-08","6.994759e-01"
"mel410","1.259119e-09","2.352972e-02","1.842189e-01","1.385215e-01","1.531991e-01","1.251317e-02","5.985240e-07","4.880170e-01"
"mel250","5.464592e-02","1.605779e-02","2.581090e-01","1.462928e-01","1.158327e-01","1.545160e-02","1.066286e-09","3.936102e-01"
"mel351","6.329263e-06","2.487095e-02","2.100943e-01","5.380535e-02","1.176845e-01","1.503550e-02","3.969554e-10","5.785031e-01"
"mel416","4.050380e-08","1.997213e-02","1.938734e-01","1.506048e-07","1.364640e-01","1.257368e-02","5.966125e-09","6.371166e-01"
"mel014","2.386295e-09","2.778218e-02","1.290614e-01","3.045714e-10","1.431194e-01","9.268296e-03","1.389965e-06","6.907673e-01"
"mel247","1.853721e-06","1.965161e-02","2.102303e-01","1.650250e-08","1.280072e-01","8.454303e-03","2.746129e-09","6.336547e-01"
"mel011","1.027453e-08","2.882826e-02","1.862413e-01","2.950971e-07","1.557636e-01","1.335794e-02","4.985647e-10","6.158085e-01"
"mel314","6.924885e-02","1.491658e-02","2.668010e-01","1.421448e-01","1.096546e-01","1.535298e-02","4.074853e-10","3.818812e-01"
"mel440","9.336433e-09","3.061602e-02","2.113387e-01","5.590232e-02","2.067324e-01","1.530047e-02","1.289251e-08","4.801101e-01"
"mel359","9.108106e-02","2.471486e-02","3.026087e-01","8.794775e-02","2.123061e-01","1.337208e-02","5.283893e-09","2.679694e-01"
"mel068","3.162101e-02","2.090927e-02","2.180234e-01","9.169690e-02","1.339275e-01","1.216825e-02","2.982891e-10","4.916536e-01"
"mel126","1.934020e-08","1.845057e-02","1.594692e-02","3.302560e-07","1.277279e-01","5.548192e-03","4.955695e-09","8.323261e-01"
"mel221","3.492415e-02","2.611759e-02","2.016860e-01","9.240908e-02","1.612478e-01","1.345714e-02","5.955125e-11","4.701583e-01"
"mel459","8.410968e-11","9.004080e-03","5.961841e-02","1.339211e-08","8.483874e-02","1.090416e-02","1.441609e-09","8.356346e-01"
"mel439","4.098186e-02","1.961216e-02","1.979479e-01","9.749614e-02","1.499415e-01","1.458617e-02","1.215827e-10","4.794342e-01"
"mel084","3.504238e-06","2.256732e-02","1.480518e-01","4.975923e-07","1.355379e-01","7.257692e-03","2.235798e-09","6.865813e-01"
"mel026","1.818324e-02","2.829997e-02","1.894381e-01","6.136484e-02","1.605051e-01","1.212920e-02","6.403730e-10","5.300796e-01"
"mel353","8.288891e-05","2.993812e-02","8.289195e-02","1.400184e-08","1.567015e-01","1.140030e-02","1.372077e-10","7.189852e-01"
"mel159","2.097611e-08","1.943245e-02","1.390643e-01","5.804793e-06","1.299177e-01","1.402343e-02","1.431420e-06","6.975548e-01"
"mel199","2.600082e-02","3.052470e-02","2.077473e-01","1.908160e-07","2.026763e-01","1.255238e-02","6.044214e-10","5.204984e-01"
"mel253","7.075995e-07","2.178253e-02","1.540934e-01","8.499592e-09","1.261254e-01","1.022357e-02","9.964127e-07","6.877734e-01"
