"","stroma score","immune score","estimate score","tumor purity"
"mel273"," -635.2199113"," -492.5353080","-1127.7552193","    0.9049876"
"mel163"," -741.9770902"," -969.2592681","-1711.2363583","    0.9380638"
"mel039","  63.9023519","2172.4312767","2236.3336287","   0.5952215"
"mel210","-1327.7108575"," -828.3929333","-2156.1037908","    0.9586728"
"mel171","-1316.379877"," -841.356997","-2157.736874","    0.958741"
"mel175"," -582.6558914"," -964.1487642","-1546.8046556","    0.9294289"
"mel319","-588.033573","1059.357994"," 471.324421","   0.781224"
"mel157","-272.8259267"," 999.6462663"," 726.8203396","   0.7572683"
"mel008","-161.5540377","-749.3525971","-910.9066348","   0.8909894"
"mel046","-250.0364895"," 680.3434714"," 430.3069819","   0.7849684"
"mel427"," 280.7747671"," 733.9013102","1014.6760773","   0.7290045"
"mel036","-320.0505551","-300.8987208","-620.9492758","   0.8708639"
"mel122"," 707.5473960"," 872.6040863","1580.1514823","   0.6697419"
"mel213"," 493.1016399","1374.1824107","1867.2840506","   0.6378578"
"mel182"," 261.2326360","-281.1461391"," -19.9135031","   0.8241684"
"mel076","-520.3403918","-197.0818462","-717.4222380","   0.8777369"
"mel310","-1362.0159498"," -768.6920474","-2130.7079972","    0.9576056"
"mel097"," 375.7389642","2802.5508823","3178.2898466","   0.4787874"
"mel412","-362.1446258","-325.7531293","-687.8977551","   0.8756521"
"mel164","1748.6830782","2735.4730827","4484.1561609","   0.3027598"
"mel397"," -762.5877837"," -732.6459464","-1495.2337301","    0.9266089"
"mel186"," -765.8013292"," -520.0302115","-1285.8315407","    0.9146148"
"mel180"," 137.1841576","2231.0942505","2368.2784081","   0.5795475"
"mel032","-583.0832947"," 485.0595559"," -98.0237389","   0.8306076"
"mel324","-1074.9587034"," -425.2765447","-1500.2352480","    0.9268848"
"mel116","-412.677899","-142.867781","-555.545680","   0.866105"
"mel058","-1245.9183624"," -746.9774352","-1992.8957976","    0.9515823"
"mel421","-1148.4972652"," -649.1913629","-1797.6886281","    0.9423848"
"mel143","-1440.2576370"," -899.3771396","-2339.6347767","    0.9659888"
"mel268","-281.3887483","-349.9972765","-631.3860248","   0.8716159"
"mel264"," -650.8462093"," -588.9173632","-1239.7635725","    0.9118598"
"mel166","-338.8280484","-344.0711409","-682.8991893","   0.8752976"
"mel144","  73.8516861","-126.6949442"," -52.8432581","   0.8268963"
"mel146","-648.4307417","-172.6779172","-821.1086589","   0.8849275"
"mel408","-522.1401083","-368.3935557","-890.5336640","   0.8896276"
"mel429"," 469.1076465"," 806.6618681","1275.7695146","   0.7022414"
"mel172","-246.1464301"," -62.0672762","-308.2137063","   0.8473905"
"mel013","-640.7720636","  65.4601154","-575.3119481","   0.8675517"
"mel096"," -82.7172586","-447.6433491","-530.3606077","   0.8642512"
"mel262"," -980.2384475"," -635.3329411","-1615.5713886","    0.9331062"
"mel251","-1202.8642729"," -906.9010708","-2109.7653437","    0.9567154"
"mel183","-1427.2815727"," -881.4846724","-2308.7662451","    0.9648072"
"mel204"," -529.975088"," -585.639330","-1115.614418","    0.904228"
"mel188","-399.494676","-515.414818","-914.909494","   0.891256"
"mel248","-1241.4873031"," -504.4380875","-1745.9253905","    0.9398158"
"mel154","-1159.7051298"," -881.6866675","-2041.3917974","    0.9537464"
"mel133","-249.1141873"," 103.6161601","-145.4980272","   0.8344679"
"mel106","-1189.1914200"," -886.1519311","-2075.3433511","    0.9552327"
"mel413"," -859.7571361"," -680.2467330","-1540.0038692","    0.9290601"
"mel181","-505.0162663","1105.6789419"," 600.6626756","   0.7692323"
"mel420","-354.9309088","-186.8132880","-541.7441969","   0.8650906"
"mel407","-1250.6391182"," -841.0183504","-2091.6574685","    0.9559385"
"mel339"," 213.8044166","1179.9789492","1393.7833658","   0.6898037"
"mel414"," -874.6711991"," -239.8348899","-1114.5060890","    0.9041585"
"mel442","-155.7351901","1393.1809147","1237.4457246","   0.7062353"
"mel214"," -550.0909299"," -581.6531914","-1131.7441213","    0.9052365"
"mel121","-336.9228839","-115.2661494","-452.1890333","   0.8584219"
"mel434","-1465.7777311"," -605.7169733","-2071.4947044","    0.9550654"
"mel114"," -738.2201078"," -750.9448921","-1489.1650000","    0.9262736"
"mel368"," 111.9417228","1313.5965513","1425.5382740","   0.6864215"
"mel145","-425.2840282","  60.1822777","-365.1017505","   0.8517948"
"mel017","539.7955033"," -2.0497651","537.7457382","  0.7751006"
"mel038","-1331.3196210","-1080.7651807","-2412.0848017","    0.9686841"
"mel315"," -715.08905"," -881.86405","-1596.95311","    0.93212"
"mel222"," -871.8380541"," -944.7941367","-1816.6321908","    0.9433114"
"mel288","-298.724114","-479.148943","-777.873057","   0.881954"
"mel049","-734.8690069","-252.1824385","-987.0514454","   0.8960083"
"mel220","-954.0740656"," 356.2360289","-597.8380367","   0.8691915"
"mel415","-811.7820828"," 398.4304977","-413.3515851","   0.8554838"
"mel185"," -910.6430692"," -322.7451718","-1233.3882410","    0.9114752"
"mel261"," -516.4237937"," -729.6456104","-1246.0694040","    0.9122394"
"mel021"," 507.1752891","3136.5256669","3643.7009560","   0.4177397"
"mel028"," 148.9893974","1821.8483728","1970.8377702","   0.6260778"
"mel130","-1177.666995"," -780.807574","-1958.474569","    0.950017"
"mel235"," -974.569344"," -943.893470","-1918.462813","    0.948167"
"mel082","-904.1083905"," 301.0829429","-603.0254477","   0.8695677"
"mel091","-472.7429340"," 333.9338022","-138.8091319","   0.8339265"
"mel329","-1047.2384286","-1255.5075045","-2302.7459332","    0.9645745"
"mel410","-538.0094312"," 317.2932412","-220.7161900","   0.8405013"
"mel250","-923.8849866","1072.8108753"," 148.9258886","   0.8098806"
"mel351","-580.7778219"," 116.2536330","-464.5241889","   0.8593493"
"mel416","-1110.148133"," -537.440669","-1647.588802","    0.934786"
"mel014"," -547.7682501","-1017.2059994","-1564.9742494","    0.9304097"
"mel247","-1054.5748304","-1396.7741203","-2451.3489507","    0.9700991"
"mel011"," -625.439333"," -746.063975","-1371.503308","    0.919627"
"mel314","-656.4262013"," 960.0392321"," 303.6130308","   0.7963536"
"mel440"," 44.2292876","357.4950485","401.7243361","  0.7875608"
"mel359","-128.6433978","1151.9161555","1023.2727577","   0.7281401"
"mel068","-836.505187","  93.873304","-742.631883","   0.879504"
"mel126","-1542.3507889","-1437.5521592","-2979.9029481","    0.9859926"
"mel221","360.6285355","134.2150712","494.8436067","  0.7790642"
"mel459","-1547.2444016"," -880.1363989","-2427.3808005","    0.9692392"
"mel439","-452.95575"," 293.31608","-159.63967","   0.83561"
"mel084"," -998.7559288","-1417.6457971","-2416.4017260","    0.9688413"
"mel026"," -72.5799153","-217.0021688","-289.5820840","   0.8459352"
"mel353","  -43.9818783","-1328.4298111","-1372.4116894","    0.9196794"
"mel159"," -895.2885220"," -371.4216692","-1266.7101912","    0.9134764"
"mel199"," 400.0941345","-377.7563900","  22.3377445","   0.8206401"
"mel253"," -949.5182527"," -938.6256744","-1888.1439271","    0.9467434"
"mel123","-1242.6737744"," -925.8959179","-2168.5696923","    0.9591918"
"mel168","-136.2086305"," -65.1406780","-201.3493085","   0.8389576"
"mel108","-623.8581213","  35.9785707","-587.8795506","   0.8684677"
"mel110","-1718.2861269","-1323.4022679","-3041.6883948","    0.9874647"
"mel078","-976.1602988"," 251.8390973","-724.3212015","   0.8782217"
"mel200"," 196.1016839","1577.9717962","1774.0734801","   0.6483352"
"mel079","-1118.9977435"," -989.2915886","-2108.2893321","    0.9566523"
"mel203"," -450.9454489","-1133.9303308","-1584.8757797","    0.9314765"
"mel360","-25.7986260","-24.8512423","-50.6498682","  0.8267152"
"mel333"," -780.1028536"," -956.0647147","-1736.1675683","    0.9393254"
"mel115","  385.5312943","-1132.2181968"," -746.6869025","    0.8797871"
"mel303","-258.3310721"," 731.6989595"," 473.3678874","   0.7810367"
"mel371","1658.2802299","1161.4724330","2819.7526629","   0.5243079"
"mel255"," 772.3159027","1242.8784743","2015.1943771","   0.6209875"
"mel392","-988.1161479","  85.1848814","-902.9312665","   0.8904572"
"mel135"," -196.9026694"," -898.4423822","-1095.3450516","    0.9029533"
"mel282","-770.7395372"," 802.2166845","  31.4771473","   0.8198727"
"mel249"," -733.9685445"," -823.5705334","-1557.5390780","    0.9300092"
"mel318"," 75.1142117","812.3587041","887.4729158","  0.7416578"
"mel435"," 925.7900205"," 276.0924443","1201.8824648","   0.7099215"
"mel405","1252.6156511","1665.1604251","2917.7760762","   0.5120017"
"mel127"," 801.6633119","1832.7382287","2634.4015406","   0.5472789"
"mel101","-526.2176151"," 647.2124431"," 120.9948280","   0.8122788"
"mel137","-360.4042649"," 778.1269833"," 417.7227184","   0.7861114"
"mel085"," 484.5171154","2927.0989818","3411.6160972","   0.4484438"
"mel129","-375.1433912","1569.1800696","1194.0366784","   0.7107321"
"mel379"," -893.1658711"," -767.5916095","-1660.7574805","    0.9354709"
"mel073","-202.0311567","-744.3737520","-946.4049088","   0.8933431"
"mel452"," -788.6870108"," -952.0545951","-1740.7416059","    0.9395555"
"mel317","482.8455883","118.5072027","601.3527911","  0.7691676"
"mel099","-1042.9078634","-1343.2823558","-2386.1902192","    0.9677333"
"mel119","-325.7544209","-182.2888378","-508.0432587","   0.8625985"
"mel156","-310.3260303","1389.0766824","1078.7506521","   0.7225342"
